Stat,ML,a_ss,a_sl,a_lc,Combined_WR,SM_WR,SM_MAPE,LC_WR
RollingMean,LGB,0.4,0.9,0.7,48.636061210911514,54.00593471810089,42.12444476769886,47.084048027444254
RollingMean,LGB,0.4,1.0,0.7,48.30339321357285,52.52225519287834,42.29700699357416,47.084048027444254
RollingMean,LGB,0.5,0.5,0.7,48.8356620093147,54.89614243323442,41.528826872985604,47.084048027444254
RollingMean,LGB,0.5,0.6,0.7,48.902195608782435,55.19287833827893,41.937043678291836,47.084048027444254
RollingMean,LGB,0.5,0.7,0.7,48.636061210911514,54.00593471810089,42.222206133081,47.084048027444254
RollingMean,LGB,0.5,0.8,0.7,48.56952761144378,53.70919881305638,42.43451754008255,47.084048027444254
RollingMean,LGB,0.5,0.9,0.7,48.23685961410512,52.22551928783383,42.6087664907653,47.084048027444254
RollingMean,LGB,0.5,1.0,0.7,47.90419161676647,50.74183976261127,42.7813287166406,47.084048027444254
RollingMean,LGB,0.6,0.6,0.7,48.902195608782435,55.19287833827893,42.43817279487526,47.084048027444254
RollingMean,LGB,0.6,0.7,0.7,48.636061210911514,54.00593471810089,42.72333524966442,47.084048027444254
RollingMean,LGB,0.6,0.8,0.7,48.56952761144378,53.70919881305638,42.93564665666598,47.084048027444254
RollingMean,LGB,0.6,0.9,0.7,48.23685961410512,52.22551928783383,43.10989560734872,47.084048027444254
RollingMean,LGB,0.6,1.0,0.7,47.90419161676647,50.74183976261127,43.282457833224015,47.084048027444254
RollingMean,LGB,0.7,0.7,0.7,48.30339321357285,52.52225519287834,43.2865895123489,47.084048027444254
RollingMean,LGB,0.7,0.8,0.7,48.23685961410512,52.22551928783383,43.49890091935045,47.084048027444254
RollingMean,LGB,0.7,0.9,0.7,47.90419161676647,50.74183976261127,43.673149870033185,47.084048027444254
RollingMean,LGB,0.7,1.0,0.7,47.57152361942781,49.25816023738873,43.84571209590849,47.084048027444254
RollingMean,LGB,0.8,0.8,0.7,48.03725881570193,51.33531157270029,44.02412605847067,47.084048027444254
RollingMean,LGB,0.8,0.9,0.7,47.70459081836327,49.85163204747774,44.19837500915341,47.084048027444254
RollingMean,LGB,0.8,1.0,0.7,47.37192282102462,48.367952522255194,44.37093723502871,47.084048027444254
RollingMean,RF,0.3,0.5,0.7,54.49101796407186,64.68842729970326,30.154468027378368,51.543739279588344
RollingMean,RF,0.3,0.6,0.7,54.62408516300733,65.28189910979229,30.040620008628377,51.543739279588344
RollingMean,RF,0.3,0.7,0.7,54.55755156353959,64.98516320474778,29.961099830249868,51.543739279588344
RollingMean,RF,0.3,0.8,0.7,54.424484364604126,64.39169139465875,29.962845353951717,51.543739279588344
RollingMean,RF,0.3,0.9,0.7,54.3579507651364,64.09495548961425,30.178452749148903,51.543739279588344
RollingMean,RF,0.3,1.0,0.7,54.3579507651364,64.09495548961425,30.446801724025608,51.543739279588344
RollingMean,RF,0.4,0.5,0.7,54.424484364604126,64.39169139465875,29.872102933936514,51.543739279588344
RollingMean,RF,0.4,0.6,0.7,54.55755156353959,64.98516320474778,29.75825491518652,51.543739279588344
RollingMean,RF,0.4,0.7,0.7,54.49101796407186,64.68842729970326,29.678734736808018,51.543739279588344
RollingMean,RF,0.4,0.8,0.7,54.3579507651364,64.09495548961425,29.680480260509864,51.543739279588344
RollingMean,RF,0.4,0.9,0.7,54.29141716566866,63.798219584569736,29.896087655707046,51.543739279588344
RollingMean,RF,0.4,1.0,0.7,54.29141716566866,63.798219584569736,30.164436630583758,51.543739279588344
